key,num,category
East Midlands,9398,0
East of England,9415,0
London,10228.72727,0
North East England,8000,0
North West England,7471.272727,0
Northern Ireland,6000,0
Scotland,8000,0
South East England,8990,0
South West England,8216.833333,0
Wales,7771,0
West Midlands,8096.8,0
Yorkshire and the Humber,8269.909091,0
