University_name,Region,State,Education_level,Average_fees,Academic_Calender,Website
University of Salford,North West England,England,1,11795,Semesters,www.salford.ac.uk
Sheffield Hallam University,Yorkshire and the Humber,England,1,11500,Semesters,www.shu.ac.uk
University of Westminster,London,England,1,12000,Semesters,www.wmin.ac.uk
Canterbury Christ Church University,South East England,England,1,11000,Trimesters,www.canterbury.ac.uk
Cardiff Metropolitan University,Wales,Wales,1,10800,Semesters,www.cardiffmet.ac.uk
Robert Gordon University,Scotland,Scotland,1,10000,Semesters,www.rgu.ac.uk
University of South Wales,Wales,Wales,1,10100,Trimesters,www.southwales.ac.uk/
Staffordshire University,West Midlands,England,1,10500,Semesters,www.staffs.ac.uk
Teesside University,North East England,England,1,10750,NA,www.tees.ac.uk
University of Wolverhampton,West Midlands,England,1,10000,Semesters,www.wlv.ac.uk/
University of Chester,North West England,England,1,10800,Other,www.chester.ac.uk
Abertay University,Scotland,Scotland,1,10700,Semesters,www.abertay.ac.uk
Arts University Bournemouth,South West England,England,1,12500,NA,aub.ac.uk
University for the Creative Arts,South East England,England,1,11870,NA,www.ucreative.co.uk
Bath Spa University,South West England,England,1,11300,NA,www.bathspa.ac.uk
Bishop Grosseteste University,East of England,England,1,10000,NA,www.bishopg.ac.uk/
University of Bolton,North West England,England,1,11250,Semesters,www.bolton.ac.uk
University of Buckingham,South East England,England,1,17160,NA,www.buckingham.ac.uk
Buckinghamshire New University,South East England,England,1,9500,Semesters,bucks.ac.uk/
University of Chichester,South East England,England,1,10250,NA,www.chiuni.ac.uk
University of Cumbria,North West England,England,1,10500,NA,www.cumbria.ac.uk
Falmouth University,South West England,England,1,12000,NA,www.falmouth.ac.uk
University of Gloucestershire,South West England,England,1,11500,Semesters,www.glos.ac.uk
Harper Adams University,Wales,Wales,1,8500,Other,www.harper-adams.ac.uk
Leeds Arts University,Yorkshire and the Humber,England,1,10500,Semesters,www.leeds-art.ac.uk
Leeds Trinity University,Yorkshire and the Humber,England,1,10750,Semesters,www.leedstrinity.ac.uk/
Liverpool Hope University,North West England,England,1,10800,Trimesters,www.hope.ac.uk
London Metropolitan University,London,England,1,11400,Continuous,www.londonmet.ac.uk
Newman University,West Midlands,England,1,10500,NA,www.newman.ac.uk/
University of Northampton,East Midlands,England,1,10700,NA,www.northampton.ac.uk
Norwich University of the Arts,East of England,England,1,12500,NA,www.nua.ac.uk/
Queen Margaret University,Scotland,Scotland,1,10700,Semesters,www.qmced.ac.uk
Plymouth Marjon University,South West England,England,1,9250,NA,www.marjon.ac.uk
