year,month,Brand,monthly_sales
2019,May,Seat,1394
2019,May,Skoda,169
2019,May,Smart,337
2019,May,Suzuki,36
2019,May,Tesla,114
2019,May,Toyota,1144
2019,May,Volkswagen,1001
2019,May,Volvo,519
2019,Jun,Alfa Romeo,70
2019,Jun,Alpine,3
2019,Jun,Aston Martin,0
2019,Jun,Audi,359
2019,Jun,Bentley,0
2019,Jun,BMW,1411
2019,Jun,Citroën,1690
2019,Jun,Cupra,0
2019,Jun,Dacia,776
2019,Jun,DS,122
2019,Jun,Ferrari,2
2019,Jun,Fiat,2202
2019,Jun,Ford,945
2019,Jun,Honda,101
2019,Jun,Hyundai,663
2019,Jun,Iveco,0
2019,Jun,Jaguar,64
2019,Jun,Jeep,251
2019,Jun,Kia,352
2019,Jun,Lamborghini,2
2019,Jun,Land Rover,29
2019,Jun,Lexus,35
2019,Jun,Man,1
2019,Jun,Maserati,1
2019,Jun,Mazda,303
2019,Jun,Mercedes-Benz,1602
2019,Jun,MINI,260
2019,Jun,Mitsubishi,425
2019,Jun,Nissan,1198
2019,Jun,Opel,1027
2019,Jun,Peugeot,2117
2019,Jun,Porsche,87
2019,Jun,Renault,4283
2019,Jun,Seat,1192
2019,Jun,Skoda,126
2019,Jun,Smart,343
2019,Jun,Suzuki,33
2019,Jun,Tesla,432
2019,Jun,Toyota,1271
2019,Jun,Volkswagen,1083
2019,Jun,Volvo,444
2019,Jul,Alfa Romeo,50
2019,Jul,Alpine,3
2019,Jul,Aston Martin,1
2019,Jul,Audi,498
2019,Jul,Bentley,3
2019,Jul,BMW,974
2019,Jul,Citroën,998
2019,Jul,Cupra,0
2019,Jul,Dacia,667
2019,Jul,DS,48
2019,Jul,Ferrari,10
2019,Jul,Fiat,1402
2019,Jul,Ford,665
2019,Jul,Honda,111
2019,Jul,Hyundai,585
2019,Jul,Iveco,1
2019,Jul,Jaguar,57
2019,Jul,Jeep,161
2019,Jul,Kia,420
2019,Jul,Lamborghini,2
2019,Jul,Land Rover,41
2019,Jul,Lexus,33
2019,Jul,Man,1
2019,Jul,Maserati,3
2019,Jul,Mazda,195
2019,Jul,Mercedes-Benz,1508
2019,Jul,MINI,200
2019,Jul,Mitsubishi,177
2019,Jul,Nissan,909
2019,Jul,Opel,693
2019,Jul,Peugeot,1821
2019,Jul,Porsche,62
2019,Jul,Renault,2106
2019,Jul,Seat,1098
2019,Jul,Skoda,158
2019,Jul,Smart,200
2019,Jul,Suzuki,43
2019,Jul,Tesla,112
2019,Jul,Toyota,728
2019,Jul,Volkswagen,1222
2019,Jul,Volvo,470
2019,Aug,Alfa Romeo,48
2019,Aug,Alpine,0
2019,Aug,Aston Martin,0
2019,Aug,Audi,295
2019,Aug,Bentley,1
2019,Aug,BMW,837
2019,Aug,Citroën,843
2019,Aug,Cupra,0
2019,Aug,Dacia,465
2019,Aug,DS,30
2019,Aug,Ferrari,0
2019,Aug,Fiat,564
2019,Aug,Ford,554
2019,Aug,Honda,104
2019,Aug,Hyundai,321
2019,Aug,Iveco,0
2019,Aug,Jaguar,66
2019,Aug,Jeep,69
2019,Aug,Kia,370
2019,Aug,Lamborghini,4
2019,Aug,Land Rover,50
2019,Aug,Lexus,32
2019,Aug,Man,0
2019,Aug,Maserati,2
2019,Aug,Mazda,169
2019,Aug,Mercedes-Benz,1222
2019,Aug,MINI,137
2019,Aug,Mitsubishi,195
2019,Aug,Nissan,544
2019,Aug,Opel,471
2019,Aug,Peugeot,1326
2019,Aug,Porsche,64
2019,Aug,Renault,1063
2019,Aug,Seat,524
2019,Aug,Skoda,154
2019,Aug,Smart,160
2019,Aug,Suzuki,38
2019,Aug,Tesla,66
2019,Aug,Toyota,593
2019,Aug,Volkswagen,773
2019,Aug,Volvo,281
2019,Sep,Alfa Romeo,24
2019,Sep,Alpine,0
2019,Sep,Aston Martin,0
2019,Sep,Audi,200
2019,Sep,Bentley,1
2019,Sep,BMW,695
2019,Sep,Citroën,843
2019,Sep,Cupra,0
2019,Sep,Dacia,356
2019,Sep,DS,35
2019,Sep,Ferrari,2
2019,Sep,Fiat,1004
2019,Sep,Ford,639
2019,Sep,Honda,109
2019,Sep,Hyundai,387
2019,Sep,Iveco,0
2019,Sep,Jaguar,62
2019,Sep,Jeep,71
2019,Sep,Kia,296
2019,Sep,Lamborghini,2
2019,Sep,Land Rover,33
2019,Sep,Lexus,40
2019,Sep,Man,1
2019,Sep,Maserati,0
2019,Sep,Mazda,203
2019,Sep,Mercedes-Benz,1310
2019,Sep,MINI,226
